latitude,longitude,String,danger
39.387,-76.787,There is 1 sex offender in this area. ,2
39.3,-76.653,There is 1 gun offender in this area. ,1
39.282,-76.629,There is 1 sex offender in this area. ,2
39.299,-76.573,There is 1 sex offender in this area. There is 1 CCTV camera in this area. ,2
39.647,-77.71,There is 1 sex offender in this area. ,2
39.32,-76.597,There are 2 gun offenders in this area. ,2
39.118,-77.156,There is 1 sex offender in this area. ,2
38.413,-76.789,There is 1 sex offender in this area. ,2
38.227,-122.138,There is 1 sex offender in this area. ,2
39.301,-76.657,There is 1 gun offender in this area. ,1
39.299,-76.594,There is 1 CCTV camera in this area. ,0
39.38,-76.571,There is 1 sex offender in this area. ,2
39.317,-76.603,There is 1 sex offender in this area. There is 1 gun offender in this area. ,3
38.945,-75.881,There is 1 sex offender in this area. ,2
39.297,-76.679,There is 1 sex offender in this area. ,2
38.899,-76.843,There is 1 sex offender in this area. ,2
39.304,-76.593,There is 1 CCTV camera in this area. ,0
39.485,-76.206,There is 1 sex offender in this area. ,2
39.339,-76.61,There is 1 gun offender in this area. ,1
39.688,-75.859,There are 2 sex offenders in this area. ,4
39.393,-76.564,There is 1 sex offender in this area. ,2
35.647,-117.811,There are 2 sex offenders in this area. ,4
38.749,-76.061,There is 1 sex offender in this area. ,2
38.946,-76.573,There is 1 sex offender in this area. ,2
39.138,-76.775,There is 1 sex offender in this area. ,2
38.859,-76.612,There is 1 sex offender in this area. ,2
39.283,-76.648,There is 1 gun offender in this area. There are 2 CCTV cameras in this area. ,1
39.345,-76.541,There is 1 sex offender in this area. ,2
39.338,-76.692,There is 1 gun offender in this area. ,1
38.994,-77.091,There is 1 sex offender in this area. ,2
39.301,-76.606,There are 2 CCTV cameras in this area. ,0
39.135,-76.551,There is 1 sex offender in this area. ,2
38.981,-76.503,There is 1 sex offender in this area. There is 1 gun offender in this area. ,3
39.301,-76.654,There is 1 sex offender in this area. There is 1 gun offender in this area. ,3
39.612,-75.826,There is 1 sex offender in this area. ,2
38.963,-76.957,There is 1 sex offender in this area. ,2
39.313,-76.677,There are 2 sex offenders in this area. ,4
39.286,-76.565,There is 1 sex offender in this area. ,2
39.349,-76.671,There is 1 gun offender in this area. ,1
39.544,-76.086,There is 1 sex offender in this area. ,2
39.614,-75.8,There is 1 sex offender in this area. ,2
39.349,-76.666,There is 1 sex offender in this area. ,2
39.325,-76.587,There is 1 gun offender in this area. ,1
39.324,-76.569,There are 2 gun offenders in this area. ,2
39.343,-76.552,There is 1 sex offender in this area. ,2
39.299,-76.629,There is 1 gun offender in this area. ,1
39.319,-76.569,There is 1 gun offender in this area. ,1
39.296,-76.665,There is 1 CCTV camera in this area. ,0
38.697,-76.539,There is 1 sex offender in this area. ,2
39.344,-76.545,There is 1 gun offender in this area. ,1
39.593,-77.123,There is 1 gun offender in this area. ,1
38.895,-76.903,There is 1 sex offender in this area. ,2
39.34,-76.696,There is 1 gun offender in this area. ,1
39.039,-77.383,There is 1 sex offender in this area. ,2
38.582,-76.959,There is 1 sex offender in this area. ,2
38.801,-76.927,There is 1 sex offender in this area. ,2
39.343,-76.608,There is 1 gun offender in this area. ,1
39.637,-78.766,There is 1 sex offender in this area. ,2
38.359,-75.655,There is 1 sex offender in this area. ,2
39.317,-76.633,There is 1 gun offender in this area. ,1
39.608,-78.727,There is 1 sex offender in this area. ,2
39.322,-76.613,There is 1 CCTV camera in this area. ,0
39.35,-76.662,There are 2 gun offenders in this area. ,2
38.854,-76.864,There is 1 sex offender in this area. ,2
39.326,-76.711,There is 1 gun offender in this area. ,1
38.707,-76.534,There is 1 sex offender in this area. ,2
39.316,-76.61,There is 1 CCTV camera in this area. ,0
38.725,-75.912,There is 1 sex offender in this area. ,2
39.135,-76.717,There is 1 sex offender in this area. ,2
39.294,-76.62,There is 1 CCTV camera in this area. ,0
38.864,-82.133,There is 1 sex offender in this area. ,2
39.268,-76.499,There is 1 sex offender in this area. ,2
38.812,-76.936,There are 3 sex offenders in this area. ,6
39.299,-76.6,There is 1 gun offender in this area. ,1
39.369,-76.546,There is 1 gun offender in this area. ,1
39.29,-76.641,There are 5 gun offenders in this area. ,5
39.355,-76.786,There is 1 gun offender in this area. ,1
39.319,-76.617,There is 1 gun offender in this area. ,1
38.567,-76.091,There is 1 sex offender in this area. ,2
39.58,-75.94,There is 1 sex offender in this area. ,2
39.428,-76.79,There is 1 sex offender in this area. ,2
39.577,-76.071,There is 1 sex offender in this area. ,2
39.292,-76.569,There is 1 gun offender in this area. ,1
39.364,-76.547,There is 1 gun offender in this area. ,1
39.291,-76.635,There is 1 gun offender in this area. ,1
38.011,-75.561,There is 1 sex offender in this area. ,2
38.933,-76.721,There is 1 sex offender in this area. ,2
39.992,-77.613,There is 1 sex offender in this area. ,2
39.1,-77.071,There is 1 sex offender in this area. ,2
39.311,-76.64,There is 1 CCTV camera in this area. ,0
39.416,-79.214,There is 1 sex offender in this area. ,2
41.324,-87.818,There is 1 sex offender in this area. ,2
39.659,-78.771,There is 1 sex offender in this area. ,2
39.346,-76.685,There is 1 sex offender in this area. There is 1 gun offender in this area. ,3
39.936,-78.141,There is 1 sex offender in this area. ,2
39.436,-77.054,There is 1 sex offender in this area. ,2
39.299,-76.682,There is 1 sex offender in this area. ,2
39.283,-76.51,There is 1 gun offender in this area. ,1
39.155,-77.191,There is 1 sex offender in this area. ,2
39.328,-76.564,There is 1 sex offender in this area. There is 1 gun offender in this area. ,3
39.917,-75.388,There are 3 sex offenders in this area. ,6
39.273,-76.519,There are 2 sex offenders in this area. ,4
39.315,-76.608,There is 1 gun offender in this area. There is 1 CCTV camera in this area. ,1
39.267,-76.685,There are 2 gun offenders in this area. ,2
38.435,-75.627,There is 1 sex offender in this area. ,2
39.322,-76.511,There is 1 sex offender in this area. ,2
39.358,-76.582,There is 1 gun offender in this area. ,1
39.111,-76.555,There is 1 sex offender in this area. ,2
39.637,-78.764,There is 1 sex offender in this area. ,2
39.223,-76.602,There is 1 sex offender in this area. ,2
39.306,-76.636,There are 2 gun offenders in this area. ,2
38.718,-77.003,There is 1 sex offender in this area. ,2
39.337,-76.659,There is 1 sex offender in this area. ,2
39.289,-76.621,There is 1 gun offender in this area. There are 2 CCTV cameras in this area. ,1
39.427,-76.291,There is 1 sex offender in this area. ,2
39.663,-77.727,There is 1 sex offender in this area. ,2
39.306,-76.638,There is 1 CCTV camera in this area. ,0
39.337,-76.602,There is 1 gun offender in this area. ,1
39.307,-76.602,There are 3 gun offenders in this area. ,3
39.296,-76.45,There is 1 sex offender in this area. ,2
39.3,-76.629,There is 1 gun offender in this area. There is 1 CCTV camera in this area. ,1
39.319,-76.695,There are 2 gun offenders in this area. ,2
39.282,-76.609,There is 1 CCTV camera in this area. ,0
39.31,-76.6,There is 1 gun offender in this area. ,1
39.348,-76.741,There is 1 sex offender in this area. ,2
39.299,-76.609,There is 1 CCTV camera in this area. ,0
38.969,-76.523,There is 1 sex offender in this area. ,2
39.286,-76.509,There are 2 sex offenders in this area. There is 1 gun offender in this area. ,5
39.297,-76.594,There is 1 CCTV camera in this area. ,0
39.306,-76.581,There are 2 gun offenders in this area. ,2
39.307,-76.636,There is 1 CCTV camera in this area. ,0
39.284,-76.683,There are 2 sex offenders in this area. There is 1 gun offender in this area. ,5
39.301,-76.628,There is 1 sex offender in this area. There is 1 gun offender in this area. ,3
39.191,-76.619,There is 1 sex offender in this area. ,2
39.551,-76.359,There is 1 sex offender in this area. ,2
39.245,-76.624,There is 1 gun offender in this area. There are 2 CCTV cameras in this area. ,1
38.931,-75.819,There is 1 sex offender in this area. ,2
