latitude,longitude,String,danger
39.28699999999999,-76.657,There is 1 gun offender in this area. ,1
39.660999999999994,-77.175,There is 1 sex offender in this area. ,5
39.299,-76.573,There is 1 gun offender in this area. There is 1 CCTV camera in this area. ,0
39.230999999999995,-76.889,There is 1 gun offender in this area. ,1
39.355,-76.763,There is 1 gun offender in this area. ,1
39.602999999999994,-76.077,There is 1 sex offender in this area. ,5
39.346999999999994,-76.755,There is 1 sex offender in this area. ,6
39.342999999999996,-76.665,There is 1 sex offender in this area. There is 1 gun offender in this area. ,5
39.118,-77.156,There is 1 sex offender in this area. ,6
39.338,-76.602,There is 1 gun offender in this area. ,1
39.288999999999994,-76.621,There is 1 CCTV camera in this area. ,-1
49.335,-124.353,There is 1 sex offender in this area. ,4
39.297999999999995,-76.572,There is 1 sex offender in this area. There is 1 gun offender in this area. ,6
39.297,-76.679,There is 1 sex offender in this area. ,4
38.538999999999994,-76.979,There is 1 sex offender in this area. ,5
39.312999999999995,-76.677,There is 1 sex offender in this area. There is 1 gun offender in this area. ,5
39.29899999999999,-76.573,There are 4 gun offenders in this area. ,4
38.098,-75.454,There is 1 sex offender in this area. ,6
38.16,-76.402,There is 1 sex offender in this area. ,4
39.287,-76.657,There is 1 gun offender in this area. ,1
38.370999999999995,-75.593,There is 1 sex offender in this area. ,4
38.69,-75.894,There is 1 sex offender in this area. ,5
38.964999999999996,-76.901,There is 1 sex offender in this area. ,4
38.888999999999996,-76.665,There is 1 sex offender in this area. ,4
39.31699999999999,-76.597,There is 1 gun offender in this area. There is 1 CCTV camera in this area. ,0
39.300999999999995,-76.657,There is 1 gun offender in this area. ,1
39.338,-76.692,There is 1 gun offender in this area. ,1
39.37499999999999,-76.701,There is 1 gun offender in this area. ,1
39.312999999999995,-76.653,There are 5 sex offenders in this area. There are 3 gun offenders in this area. There is 1 CCTV camera in this area. ,20
39.612,-75.826,There is 1 sex offender in this area. ,5
38.774,-76.066,There are 2 sex offenders in this area. ,9
39.32899999999999,-76.587,There is 1 gun offender in this area. ,1
38.311,-75.889,There is 1 sex offender in this area. ,6
39.349,-76.671,There is 1 gun offender in this area. ,1
39.544,-76.086,There is 1 sex offender in this area. ,4
39.25899999999999,-76.643,There is 1 gun offender in this area. ,1
39.333,-76.639,There is 1 gun offender in this area. ,1
39.614,-75.8,There is 1 sex offender in this area. ,4
39.163,-76.829,There is 1 sex offender in this area. ,6
39.297999999999995,-76.64,There is 1 sex offender in this area. ,5
39.31699999999999,-76.631,There is 1 sex offender in this area. There is 1 gun offender in this area. ,7
39.33,-76.384,There is 1 sex offender in this area. ,6
39.318999999999996,-76.617,There is 1 sex offender in this area. ,4
39.616,-75.974,There is 1 sex offender in this area. ,4
38.372,-75.636,There is 1 sex offender in this area. ,4
39.364,-76.702,There is 1 gun offender in this area. ,1
39.34,-76.696,There is 1 gun offender in this area. ,1
39.317,-76.633,There is 1 sex offender in this area. There is 1 gun offender in this area. ,6
39.285999999999994,-76.758,There is 1 sex offender in this area. ,6
39.35,-76.662,There are 2 gun offenders in this area. ,2
38.854,-76.864,There is 1 sex offender in this area. ,5
39.344,-76.732,There is 1 gun offender in this area. ,1
39.316,-76.61,There is 1 CCTV camera in this area. ,-1
39.32,-76.66,There is 1 sex offender in this area. ,4
39.387,-77.293,There is 1 sex offender in this area. ,6
39.294,-76.62,There are 2 CCTV cameras in this area. ,-2
39.26499999999999,-76.645,There is 1 sex offender in this area. ,4
38.812,-76.936,There are 3 sex offenders in this area. ,11
39.333999999999996,-77.632,There is 1 sex offender in this area. ,6
38.788999999999994,-76.905,There is 1 sex offender in this area. ,4
39.317,-76.631,There is 1 sex offender in this area. ,4
39.263999999999996,-76.528,There is 1 sex offender in this area. ,6
39.318999999999996,-76.569,There are 3 gun offenders in this area. ,3
39.29899999999999,-76.629,There is 1 gun offender in this area. ,1
38.567,-76.091,There is 1 sex offender in this area. ,4
39.58,-75.94,There is 1 sex offender in this area. ,5
39.428,-76.79,There is 1 sex offender in this area. ,6
39.358999999999995,-76.591,There is 1 gun offender in this area. ,1
39.311,-76.611,There is 1 sex offender in this area. There is 1 gun offender in this area. There is 1 CCTV camera in this area. ,4
39.416,-79.214,There is 1 sex offender in this area. ,5
41.324,-87.818,There is 1 sex offender in this area. ,4
39.29,-76.614,There is 1 CCTV camera in this area. ,-1
39.224999999999994,-76.605,There is 1 sex offender in this area. There is 1 gun offender in this area. ,7
39.324999999999996,-76.593,There are 3 gun offenders in this area. ,3
39.35099999999999,-76.595,There is 1 gun offender in this area. ,1
39.436,-77.054,There is 1 sex offender in this area. ,5
39.370999999999995,-76.587,There is 1 sex offender in this area. ,6
39.364999999999995,-76.607,There is 1 gun offender in this area. ,1
39.328,-76.564,There is 1 sex offender in this area. There is 1 gun offender in this area. ,7
39.318999999999996,-76.417,There is 1 sex offender in this area. ,6
38.772999999999996,-76.791,There is 1 sex offender in this area. ,5
38.72299999999999,-76.997,There is 1 sex offender in this area. ,5
39.372,-76.602,There is 1 gun offender in this area. ,1
